incident_id,timestamp,free_text,event_type,resolution
INC001,2025-11-01 09:12,"Lock did not open, app showed access denied",lock_access,"Reset key + retry within window"
INC002,2025-11-01 09:18,"Recipient code expired before arrival",lock_access,"Extend code validity + notify ETA"
INC003,2025-11-01 10:05,"Driver couldn't find the locker, address unclear",navigation,"Improve geofence pin + add photo"
INC004,2025-11-01 10:11,"Package too large for drop space",space_fit,"Trigger pre-route fit check"
INC005,2025-11-01 11:02,"Lock opened but door stuck",hardware,"Schedule maintenance + fallback access"
INC006,2025-11-01 11:25,"Access code worked for another driver earlier, now invalid",lock_access,"Regenerate key for correct driver"
INC007,2025-11-01 12:04,"Customer says parcel missing, but system shows delivered",dispute,"Check evidence bundle + lock logs"
INC008,2025-11-01 12:40,"Van was full, parcels reshuffled mid-route",space_fit,"Enable dynamic van zoning + re-pack"
INC009,2025-11-01 13:10,"Lock battery low warning, access slow",hardware,"Replace battery + monitor health"
INC010,2025-11-01 13:45,"App crashed during unlock attempt",app_issue,"Update app + offline fallback flow"
INC011,2025-11-02 08:22,"Access denied again at same location, maybe wrong lock id",lock_access,"Verify lock_id mapping + re-sync"
INC012,2025-11-02 09:05,"Temperature controlled box was not cooled",env_control,"Alert cold-chain breach + reroute"
INC013,2025-11-02 09:50,"Locker full of previous parcels, no space left",space_fit,"Prevent route finalization if full"
INC014,2025-11-02 10:15,"Driver note: gate closed, couldn’t reach UD space",access_path,"Add alternative access instructions"
INC015,2025-11-02 11:20,"Customer insists code never received",notification,"Resend code + multi-channel notify"
